deal_name,cik,accession,period_end,n_assets,period_chargeoff,period_recovery,period_net_loss,period_end_balance,cum_net_loss,original_pool_balance,cum_net_loss_rate
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-000,2021-08-31,40000,0.0,0.0,0.0,814996964.22,0.0,833000000.0,0.0
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-001,2021-09-30,39333,136039.22,27207.84,108831.38,797085240.68,108831.38,833000000.0,0.000131
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-002,2021-10-31,38666,162220.74,32444.15,129776.59,779265928.67,238607.97,833000000.0,0.000286
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-003,2021-11-30,38000,193168.24,38633.65,154534.59,761540160.21,393142.56,833000000.0,0.000472
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-004,2021-12-31,37333,230237.74,46047.55,184190.19,743909101.59,577332.75,833000000.0,0.000693
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-005,2022-01-31,36666,273863.19,54772.64,219090.55,726373955.05,796423.3,833000000.0,0.000956
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-006,2022-02-28,36000,325063.53,65012.71,260050.82,708935960.6,1056474.12,833000000.0,0.001268
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-007,2022-03-31,35333,385998.24,77199.65,308798.59,691596397.9,1365272.71,833000000.0,0.001639
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-008,2022-04-30,34666,456633.11,91326.62,365306.49,674356588.34,1730579.2,833000000.0,0.002078
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-009,2022-05-31,34000,538308.05,107661.61,430646.44,657217897.23,2161225.64,833000000.0,0.002595
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-010,2022-06-30,33333,635141.21,127028.24,508112.97,640181736.18,2669338.61,833000000.0,0.003204
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-011,2022-07-31,32666,744400.76,148880.15,595520.61,623249565.63,3264859.22,833000000.0,0.003919
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-012,2022-08-31,32000,873573.07,174714.61,698858.46,606422897.59,3963717.67,833000000.0,0.004758
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-013,2022-09-30,31333,1016732.9,203346.58,813386.32,589703298.62,4777103.99,833000000.0,0.005735
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-014,2022-10-31,30666,1178888.2,235777.64,943110.56,573092392.96,5720214.55,833000000.0,0.006867
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-015,2022-11-30,30000,1358263.29,271652.66,1086610.63,556591866.06,6806825.18,833000000.0,0.008171
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-016,2022-12-31,29333,1561763.82,312352.76,1249411.06,540203468.27,8056236.24,833000000.0,0.009671
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-017,2023-01-31,28666,1772287.09,354457.42,1417829.67,523929018.91,9474065.91,833000000.0,0.011373
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-018,2023-02-28,28000,1997690.0,399538.0,1598152.0,507770410.71,11072217.91,833000000.0,0.013292
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-019,2023-03-31,27333,2231894.07,446378.81,1785515.25,491729614.61,12857733.16,833000000.0,0.015435
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-020,2023-04-30,26666,2471848.67,494369.73,1977478.94,475808685.04,14835212.1,833000000.0,0.017809
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-021,2023-05-31,26000,2700257.19,540051.44,2160205.76,460009765.65,16995417.86,833000000.0,0.020403
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-022,2023-06-30,25333,2913614.2,582722.84,2330891.36,444335095.65,19326309.22,833000000.0,0.023201
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-023,2023-07-31,24666,3100671.39,620134.28,2480537.12,428787016.78,21806846.33,833000000.0,0.026179
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-024,2023-08-31,24000,3267278.56,653455.71,2613822.85,413367980.92,24420669.18,833000000.0,0.029317
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-025,2023-09-30,23333,3351232.44,670246.49,2680985.95,398080558.57,27101655.13,833000000.0,0.032535
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-026,2023-10-31,22666,3403723.71,680744.74,2722978.97,382927448.29,29824634.1,833000000.0,0.035804
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-027,2023-11-30,22000,3399000.95,679800.19,2719200.76,367911487.05,32543834.86,833000000.0,0.039068
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-028,2023-12-31,21333,3361745.24,672349.05,2689396.2,353035661.92,35233231.06,833000000.0,0.042297
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-029,2024-01-31,20666,3264691.39,652938.28,2611753.11,338303123.08,37844984.17,833000000.0,0.045432
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-030,2024-02-29,20000,3097830.88,619566.18,2478264.71,323717198.42,40323248.87,833000000.0,0.048407
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-031,2024-03-31,19333,2899722.76,579944.55,2319778.21,309281410.02,42643027.08,833000000.0,0.051192
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-032,2024-04-30,18666,2686042.82,537208.56,2148834.25,294999492.82,44791861.33,833000000.0,0.053772
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-033,2024-05-31,18000,2481855.44,496371.09,1985484.35,280875415.75,46777345.69,833000000.0,0.056155
